Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2013-2014,17,Notts County,eng ENG,3. League One,20th,31.4,8,0,,18,,,,,,,,,,,,,
2013-2014,17,Aston Villa,eng ENG,1. Premier League,15th,0,0,0,,0,,,,,,,,,,,,,
2014-2015,18,Aston Villa,eng ENG,1. Premier League,17th,9.1,0,0,,6,,,,,,,,,,,,,Matches
2015-2016,19,Aston Villa,eng ENG,1. Premier League,20th,9.3,1,0,,6,,,,,,,,,,,,,Matches
2016-2017,20,Aston Villa,eng ENG,2. Championship,13th,21.2,6,2,1,18,0,0,0,0,0,0,0,0,,,,,Matches
2017-2018,21,Aston Villa,eng ENG,Jr. PL2 â€” Div. 2,2nd,2.5,2,0,0,,,,,,,,,0,,,,,Matches
2017-2018,21,Aston Villa,eng ENG,2. Championship,4th,20.7,4,0,0,20,81,1,71,12,15,0,0,0,,,,,Matches
2018-2019,22,Aston Villa,eng ENG,2. Championship,5th,30,5,0,0,38,149,2,115,17,26,1,0,0,,,,,Matches
2019-2020,23,Aston Villa,eng ENG,1. Premier League,19th,25.9,7,0,0,24,127,3,97,16,23,0,0,0,189,11,30,26.8,Matches
7 Seasons,,2 Clubs,,3 Leagues,,147.6,31,2,1,130,357,6,283,45,64,1,0,0,189,11,30,26.8,
Aston Villa (7 Seasons),,,,2 Leagues,,116.2,23,2,1,112,357,6,283,45,64,1,0,0,189,11,30,26.8,
Notts County (1 Season),,,,1 League,,31.4,8,0,,18,,,,,,,,,,,,,
Aston Villa (1 Season),,,,1 League,,2.5,2,0,0,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Premier League (4 Seasons),,,,,,44.3,8,0,0,36,127,3,97,16,23,0,0,0,189,11,30,26.8,
Championship (3 Seasons),,,,,,71.9,15,2,1,76,230,3,186,29,41,1,0,0,,,,,
League One (1 Season),,,,,,31.4,8,0,,18,,,,,,,,,,,,,
PL2 â€” Div. 2 (1 Season),,,,,,2.5,2,0,0,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
