Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,TCmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
2013-2014,17,Notts County,eng ENG,3. League One,20th,31.4,,,,,,,,,,,,,,,5,,,,,,,,
2013-2014,17,Aston Villa,eng ENG,1. Premier League,15th,0,,,,,,,,,,,,,,,0,,,,,,,,
2014-2015,18,Aston Villa,eng ENG,1. Premier League,17th,9.1,,,,,,,,,,,,,,,1,,,,,,,,Matches
2015-2016,19,Aston Villa,eng ENG,1. Premier League,20th,9.3,,,,,,,,,,,,,,,0,,,,,,,,Matches
2016-2017,20,Aston Villa,eng ENG,2. Championship,13th,21.2,,,,,,,,,,,,,,,2,,,,,,,,Matches
2017-2018,21,Aston Villa,eng ENG,Jr. PL2 â€” Div. 2,2nd,2.5,,,,,,,,,,,,,,,2,,,,,,,,Matches
2017-2018,21,Aston Villa,eng ENG,2. Championship,4th,20.7,,,,,,,,,,,,,,,5,,,,,,,,Matches
2018-2019,22,Aston Villa,eng ENG,2. Championship,5th,30,,,,,,,,,,,,,,,6,,,,,,,,Matches
2019-2020,23,Aston Villa,eng ENG,1. Premier League,19th,25.9,911,1154,78.9,17463,4792,22,64,34.4,684,783,87.4,205,307,66.8,6,5.1,0.9,70,75,56,2,172,Matches
7 Seasons,,2 Clubs,,3 Leagues,,147.6,911,1154,78.9,17463,4792,22,64,34.4,684,783,87.4,205,307,66.8,25,5.1,0.9,70,75,56,2,172,
Aston Villa (7 Seasons),,,,2 Leagues,,116.2,911,1154,78.9,17463,4792,22,64,34.4,684,783,87.4,205,307,66.8,20,5.1,0.9,70,75,56,2,172,
Notts County (1 Season),,,,1 League,,31.4,,,,,,,,,,,,,,,5,,,,,,,,
Aston Villa (1 Season),,,,1 League,,2.5,,,,,,,,,,,,,,,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (4 Seasons),,,,,,44.3,911,1154,78.9,17463,4792,22,64,34.4,684,783,87.4,205,307,66.8,7,5.1,0.9,70,75,56,2,172,
Championship (3 Seasons),,,,,,71.9,,,,,,,,,,,,,,,13,,,,,,,,
League One (1 Season),,,,,,31.4,,,,,,,,,,,,,,,5,,,,,,,,
PL2 â€” Div. 2 (1 Season),,,,,,2.5,,,,,,,,,,,,,,,2,,,,,,,,
