Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
2013-2014,17,Notts County,eng ENG,3. League One,20th,31.4,,,,,,,,,,,,,,,,,,,,,
2013-2014,17,Aston Villa,eng ENG,1. Premier League,15th,0,,,,,,,,,,,,,,,,,,,,,
2014-2015,18,Aston Villa,eng ENG,1. Premier League,17th,9.1,,,,,,,,,,,,,,,,,,,,,Matches
2015-2016,19,Aston Villa,eng ENG,1. Premier League,20th,9.3,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,20,Aston Villa,eng ENG,2. Championship,13th,21.2,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,21,Aston Villa,eng ENG,Jr. PL2 â€” Div. 2,2nd,2.5,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,21,Aston Villa,eng ENG,2. Championship,4th,20.7,,,,,,,,,,,,,,,,,,,,,Matches
2018-2019,22,Aston Villa,eng ENG,2. Championship,5th,30,,,,,,,,,,,,,,,,,,,,,Matches
2019-2020,23,Aston Villa,eng ENG,1. Premier League,19th,25.9,1537,33,263,677,792,114,1405,59,96,61.5,61,4,1209,11751,6972,1343,1105,82.3,49,61,Matches
7 Seasons,,2 Clubs,,3 Leagues,,147.6,1537,33,263,677,792,114,1405,59,96,61.5,61,4,1209,11751,6972,1343,1105,82.3,49,61,
Aston Villa (7 Seasons),,,,2 Leagues,,116.2,1537,33,263,677,792,114,1405,59,96,61.5,61,4,1209,11751,6972,1343,1105,82.3,49,61,
Notts County (1 Season),,,,1 League,,31.4,,,,,,,,,,,,,,,,,,,,,
Aston Villa (1 Season),,,,1 League,,2.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (4 Seasons),,,,,,44.3,1537,33,263,677,792,114,1405,59,96,61.5,61,4,1209,11751,6972,1343,1105,82.3,49,61,
Championship (3 Seasons),,,,,,71.9,,,,,,,,,,,,,,,,,,,,,
League One (1 Season),,,,,,31.4,,,,,,,,,,,,,,,,,,,,,
PL2 â€” Div. 2 (1 Season),,,,,,2.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
