Season,Age,Squad,Country,Comp,LgRank,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2013-2014,17,Notts County,eng ENG,3. League One,20th,31.4,5,0,0,,12,,,,0.38,,0.42,,,,,,
2013-2014,17,Aston Villa,eng ENG,1. Premier League,15th,0,0,0,0,,0,,,,0,,,,,,,,
2014-2015,18,Aston Villa,eng ENG,1. Premier League,17th,9.1,0,0,0,,5,,,,0.55,,0,,,,,,Matches
2015-2016,19,Aston Villa,eng ENG,1. Premier League,20th,9.3,1,0,0,,4,,,,0.43,,0.25,,,,,,Matches
2016-2017,20,Aston Villa,eng ENG,2. Championship,13th,21.2,5,0,0,0,12,,,0,0.57,,0.42,,,,,,Matches
2017-2018,21,Aston Villa,eng ENG,Jr. PL2 â€” Div. 2,2nd,2.5,0,0,0,,,,,,,,,,,,,,Matches
2017-2018,21,Aston Villa,eng ENG,2. Championship,4th,20.7,3,0,0,50,13,,26,2.42,0.63,0.06,0.23,,,,,,Matches
2018-2019,22,Aston Villa,eng ENG,2. Championship,5th,30,6,0,0,65,21,,32.3,2.17,0.7,0.09,0.29,,,,,,Matches
2019-2020,23,Aston Villa,eng ENG,1. Premier League,19th,25.9,7,0,1,54,16,0,29.6,2.08,0.62,0.13,0.44,5.5,4.7,0.09,1.5,2.3,Matches
7 Seasons,,2 Clubs,,3 Leagues,,147.6,27,0,1,169,83,0,36.7,1.73,0.56,0.12,0.33,5.5,4.7,0.09,1.5,22.3,
Aston Villa (7 Seasons),,,,2 Leagues,,116.2,22,0,1,169,71,0,36.7,1.73,0.61,0.12,0.31,5.5,4.7,0.09,1.5,17.3,
Notts County (1 Season),,,,1 League,,31.4,5,0,0,,12,,,,0.38,,0.42,,,,,,
Aston Villa (1 Season),,,,1 League,,2.5,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Premier League (4 Seasons),,,,,,44.3,8,0,1,54,25,0,29.6,2.08,0.56,0.13,0.32,5.5,4.7,0.09,1.5,3.3,
Championship (3 Seasons),,,,,,71.9,14,0,0,115,46,,40,1.6,0.64,0.12,0.3,,,,,,
League One (1 Season),,,,,,31.4,5,0,0,,12,,,,0.38,,0.42,,,,,,
PL2 â€” Div. 2 (1 Season),,,,,,2.5,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
