Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Matches
2016-2017,17,Leverkusen U19,de GER,Jr. U19 Bundesliga,5th,8.4,,,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,17,Leverkusen,de GER,1. Bundesliga,12th,16.1,,16,,,,,,,,,,,,,,,,,,19,,,Matches
2017-2018,18,Leverkusen,de GER,1. Bundesliga,5th,23.8,25,21,4,20,1,4,32,12.5,28,452,146,32.3,62,258,132,32,2,0,30,22,29,0,Matches
2018-2019,19,Leverkusen,de GER,1. Bundesliga,4th,32.2,31,24,10,13,8,11,35,31.4,24,479,151,31.5,90,241,148,40,6,0,34,16,24,0,Matches
2019-2020,20,Leverkusen,de GER,1. Bundesliga,5th,20.7,20,17,3,11,6,6,30,20,24,272,86,31.6,37,128,107,18,1,0,17,3,19,0,Matches
4 Seasons,,1 Club,,1 League,,92.9,76,78,17,44,15,21,97,21.6,76,1203,383,31.8,189,627,387,90,9,0,81,60,72,0,
Leverkusen (4 Seasons),,,,1 League,,92.9,76,78,17,44,15,21,97,21.6,76,1203,383,31.8,189,627,387,90,9,0,81,60,72,0,
Leverkusen U19 (1 Season),,,,1 League,,8.4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (4 Seasons),,,,,,92.9,76,78,17,44,15,21,97,21.6,76,1203,383,31.8,189,627,387,90,9,0,81,60,72,0,
U19 Bundesliga (1 Season),,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,
