Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2016-2017,17,Leverkusen U19,de GER,Jr. U19 Bundesliga,5th,8.4,0,0,0,,,,,,,,,0,,,,,Matches
2016-2017,17,Leverkusen,de GER,1. Bundesliga,12th,16.1,2,0,0,28,19,1,19,19,16,0,0,0,,,,,Matches
2017-2018,18,Leverkusen,de GER,1. Bundesliga,5th,23.8,3,0,0,30,47,5,19,22,21,1,0,0,205,70,83,45.8,Matches
2018-2019,19,Leverkusen,de GER,1. Bundesliga,4th,32.2,2,0,0,24,52,4,23,16,24,0,0,0,234,43,57,43,Matches
2019-2020,20,Leverkusen,de GER,1. Bundesliga,5th,20.7,3,0,0,18,22,7,23,3,17,0,0,0,121,31,36,46.3,Matches
4 Seasons,,1 Club,,1 League,,92.9,10,0,0,100,140,17,84,60,78,1,0,0,560,144,176,45,
Leverkusen (4 Seasons),,,,1 League,,92.9,10,0,0,100,140,17,84,60,78,1,0,0,560,144,176,45,
Leverkusen U19 (1 Season),,,,1 League,,8.4,0,0,0,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (4 Seasons),,,,,,92.9,10,0,0,100,140,17,84,60,78,1,0,0,560,144,176,45,
U19 Bundesliga (1 Season),,,,,,8.4,0,0,0,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
