Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,TCmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
2016-2017,17,Leverkusen U19,de GER,Jr. U19 Bundesliga,5th,8.4,,,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,17,Leverkusen,de GER,1. Bundesliga,12th,16.1,,,,,,,,,,,,,,,4,,,,,,,,Matches
2017-2018,18,Leverkusen,de GER,1. Bundesliga,5th,23.8,901,1112,81,15689,3400,19,54,35.2,717,853,84.1,165,205,80.5,8,3.9,4.1,31,85,28,5,104,Matches
2018-2019,19,Leverkusen,de GER,1. Bundesliga,4th,32.2,1577,1814,86.9,25969,5160,40,78,51.3,1303,1456,89.5,234,280,83.6,3,4.6,-1.6,38,113,50,6,152,Matches
2019-2020,20,Leverkusen,de GER,1. Bundesliga,5th,20.7,950,1100,86.4,14784,2850,23,61,37.7,808,887,91.1,119,152,78.3,5,5.6,-0.6,44,71,31,4,91,Matches
4 Seasons,,1 Club,,1 League,,92.9,3428,4026,85.1,56442,11410,82,193,42.5,2828,3196,88.5,518,637,81.3,20,14.1,1.9,113,269,109,15,347,
Leverkusen (4 Seasons),,,,1 League,,92.9,3428,4026,85.1,56442,11410,82,193,42.5,2828,3196,88.5,518,637,81.3,20,14.1,1.9,113,269,109,15,347,
Leverkusen U19 (1 Season),,,,1 League,,8.4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (4 Seasons),,,,,,92.9,3428,4026,85.1,56442,11410,82,193,42.5,2828,3196,88.5,518,637,81.3,20,14.1,1.9,113,269,109,15,347,
U19 Bundesliga (1 Season),,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,
