Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
2016-2017,17,Leverkusen U19,de GER,Jr. U19 Bundesliga,5th,8.4,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,17,Leverkusen,de GER,1. Bundesliga,12th,16.1,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,18,Leverkusen,de GER,1. Bundesliga,5th,23.8,1439,27,185,851,529,82,1415,37,60,61.7,38,4,1060,6850,3411,1367,1072,78.4,53,51,Matches
2018-2019,19,Leverkusen,de GER,1. Bundesliga,4th,32.2,2257,36,249,1270,911,143,2224,67,106,63.2,69,2,1813,10514,5088,2209,1838,83.2,71,73,Matches
2019-2020,20,Leverkusen,de GER,1. Bundesliga,5th,20.7,1404,23,128,821,574,104,1374,54,107,50.5,58,4,1139,7276,3904,1533,1167,76.1,64,65,Matches
4 Seasons,,1 Club,,1 League,,92.9,5100,86,562,2942,2014,329,5013,158,273,57.9,165,10,4012,24640,12403,5109,4077,79.8,188,189,
Leverkusen (4 Seasons),,,,1 League,,92.9,5100,86,562,2942,2014,329,5013,158,273,57.9,165,10,4012,24640,12403,5109,4077,79.8,188,189,
Leverkusen U19 (1 Season),,,,1 League,,8.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (4 Seasons),,,,,,92.9,5100,86,562,2942,2014,329,5013,158,273,57.9,165,10,4012,24640,12403,5109,4077,79.8,188,189,
U19 Bundesliga (1 Season),,,,,,8.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
