Season,Age,Squad,Country,Comp,LgRank,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2016-2017,17,Leverkusen U19,de GER,Jr. U19 Bundesliga,5th,8.4,2,0,0,,,,,,,,,,,,,,Matches
2016-2017,17,Leverkusen,de GER,1. Bundesliga,12th,16.1,4,0,0,30,16,,53.3,1.86,0.99,0.13,0.25,,,,,,Matches
2017-2018,18,Leverkusen,de GER,1. Bundesliga,5th,23.8,3,0,0,36,14,0,38.9,1.51,0.59,0.08,0.21,4.1,4.1,0.11,-1.1,-1.1,Matches
2018-2019,19,Leverkusen,de GER,1. Bundesliga,4th,32.2,17,3,3,85,39,3,45.9,2.64,1.21,0.16,0.36,12.6,10.4,0.12,4.4,3.6,Matches
2019-2020,20,Leverkusen,de GER,1. Bundesliga,5th,20.7,6,0,0,36,18,0,50,1.74,0.87,0.17,0.33,4.8,4.8,0.13,1.2,1.2,Matches
4 Seasons,,1 Club,,1 League,,92.9,30,3,3,187,87,3,46.5,2.01,0.94,0.14,0.31,21.6,19.3,0.13,4.4,7.7,
Leverkusen (4 Seasons),,,,1 League,,92.9,30,3,3,187,87,3,46.5,2.01,0.94,0.14,0.31,21.6,19.3,0.13,4.4,7.7,
Leverkusen U19 (1 Season),,,,1 League,,8.4,2,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (4 Seasons),,,,,,92.9,30,3,3,187,87,3,46.5,2.01,0.94,0.14,0.31,21.6,19.3,0.13,4.4,7.7,
U19 Bundesliga (1 Season),,,,,,8.4,2,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
