Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Matches
2007-2008,16,Lille,fr FRA,1. Ligue 1,7th,0.4,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,17,Lille,fr FRA,1. Ligue 1,5th,14.1,,,,,,,,,,,,,,,,,,,,,,,
2009-2010,18,Lille,fr FRA,1. Ligue 1,4th,29.8,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,19,Lille,fr FRA,1. Ligue 1,1st,34.1,,,,,,,,,,,,,,,,,,,,,,,
2011-2012,20,Lille,fr FRA,1. Ligue 1,3rd,35.6,,,,,,,,,,,,,,,,,,,,,,,
2012-2013,21,Chelsea,eng ENG,1. Premier League,3rd,29.2,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,22,Chelsea,eng ENG,1. Premier League,3rd,32.1,,,,,,,,,,,,,,,,,,,,,,,
2014-2015,23,Chelsea,eng ENG,1. Premier League,1st,37.4,,,,,,,,,,,,,,,,,,,,,,,Matches
2015-2016,24,Chelsea,eng ENG,1. Premier League,10th,24.3,,,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,25,Chelsea,eng ENG,1. Premier League,1st,33.1,,14,,,,,,,,,,,,,,,,,,28,,,Matches
2017-2018,26,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,8th,0.8,,,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,26,Chelsea,eng ENG,1. Premier League,5th,26.9,7,4,1,6,0,2,10,20,8,225,58,25.8,26,94,105,10,0,0,10,4,1,0,Matches
2018-2019,27,Chelsea,eng ENG,1. Premier League,3rd,32.5,8,6,1,0,7,3,17,17.6,14,407,102,25.1,67,143,197,14,0,0,14,10,1,0,Matches
2019-2020,28,Real Madrid,es ESP,1. La Liga,2nd,8.3,6,4,1,4,1,2,10,20,8,98,30,30.6,19,45,34,8,0,0,8,5,0,0,Matches
13 Seasons,,3 Clubs,,3 Leagues,,337.8,21,28,3,10,8,7,37,18.9,30,730,190,26,112,282,336,32,0,0,32,47,2,0,
Chelsea (7 Seasons),,,,1 League,,215.6,15,24,2,6,7,5,27,18.5,22,632,160,25.3,93,237,302,24,0,0,24,42,2,0,
Lille (5 Seasons),,,,1 League,,113.9,,,,,,,,,,,,,,,,,,,,,,,
Real Madrid (1 Season),,,,1 League,,8.3,6,4,1,4,1,2,10,20,8,98,30,30.6,19,45,34,8,0,0,8,5,0,0,
Chelsea (1 Season),,,,1 League,,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (7 Seasons),,,,,,215.6,15,24,2,6,7,5,27,18.5,22,632,160,25.3,93,237,302,24,0,0,24,42,2,0,
Ligue 1 (5 Seasons),,,,,,113.9,,,,,,,,,,,,,,,,,,,,,,,
La Liga (1 Season),,,,,,8.3,6,4,1,4,1,2,10,20,8,98,30,30.6,19,45,34,8,0,0,8,5,0,0,
PL2 â€” Div. 1 (1 Season),,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,
