Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2007-2008,16,Lille,fr FRA,1. Ligue 1,7th,0.4,0,0,,0,,,,,,,,,,,,,
2008-2009,17,Lille,fr FRA,1. Ligue 1,5th,14.1,1,0,,23,,,,,,,,,,,,,
2009-2010,18,Lille,fr FRA,1. Ligue 1,4th,29.8,3,0,,36,,,,,,,,,,,,,
2010-2011,19,Lille,fr FRA,1. Ligue 1,1st,34.1,2,0,,33,,,,,,,,,,,,,
2011-2012,20,Lille,fr FRA,1. Ligue 1,3rd,35.6,2,0,,44,,,,,,,,,,,,,
2012-2013,21,Chelsea,eng ENG,1. Premier League,3rd,29.2,2,0,,25,,,,,,,,,,,,,
2013-2014,22,Chelsea,eng ENG,1. Premier League,3rd,32.1,2,0,,17,,,,,,,,,,,,,
2014-2015,23,Chelsea,eng ENG,1. Premier League,1st,37.4,2,0,,13,,,,,,,,,,,,,Matches
2015-2016,24,Chelsea,eng ENG,1. Premier League,10th,24.3,2,0,,15,,,,,,,,,,,,,Matches
2016-2017,25,Chelsea,eng ENG,1. Premier League,1st,33.1,3,0,0,19,101,8,87,28,14,1,0,0,,,,,Matches
2017-2018,26,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,8th,0.8,0,0,0,,,,,,,,,0,,,,,Matches
2017-2018,26,Chelsea,eng ENG,1. Premier League,5th,26.9,2,0,0,13,82,16,51,4,4,1,0,0,166,6,17,26.1,Matches
2018-2019,27,Chelsea,eng ENG,1. Premier League,3rd,32.5,2,0,0,12,104,11,145,10,6,1,0,0,173,14,20,41.2,Matches
2019-2020,28,Real Madrid,es ESP,1. La Liga,2nd,8.3,0,0,0,11,35,2,15,5,4,3,0,0,54,5,4,55.6,Matches
13 Seasons,,3 Clubs,,3 Leagues,,337.8,23,0,0,261,322,37,298,47,28,6,0,0,393,25,41,37.9,
Chelsea (7 Seasons),,,,1 League,,215.6,15,0,0,114,287,35,283,42,24,3,0,0,339,20,37,35.1,
Lille (5 Seasons),,,,1 League,,113.9,8,0,,136,,,,,,,,,,,,,
Real Madrid (1 Season),,,,1 League,,8.3,0,0,0,11,35,2,15,5,4,3,0,0,54,5,4,55.6,
Chelsea (1 Season),,,,1 League,,0.8,0,0,0,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Premier League (7 Seasons),,,,,,215.6,15,0,0,114,287,35,283,42,24,3,0,0,339,20,37,35.1,
Ligue 1 (5 Seasons),,,,,,113.9,8,0,,136,,,,,,,,,,,,,
La Liga (1 Season),,,,,,8.3,0,0,0,11,35,2,15,5,4,3,0,0,54,5,4,55.6,
PL2 â€” Div. 1 (1 Season),,,,,,0.8,0,0,0,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
