Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,TCmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
2007-2008,16,Lille,fr FRA,1. Ligue 1,7th,0.4,,,,,,,,,,,,,,,0,,,,,,,,
2008-2009,17,Lille,fr FRA,1. Ligue 1,5th,14.1,,,,,,,,,,,,,,,1,,,,,,,,
2009-2010,18,Lille,fr FRA,1. Ligue 1,4th,29.8,,,,,,,,,,,,,,,7,,,,,,,,
2010-2011,19,Lille,fr FRA,1. Ligue 1,1st,34.1,,,,,,,,,,,,,,,8,,,,,,,,
2011-2012,20,Lille,fr FRA,1. Ligue 1,3rd,35.6,,,,,,,,,,,,,,,15,,,,,,,,
2012-2013,21,Chelsea,eng ENG,1. Premier League,3rd,29.2,,,,,,,,,,,,,,,11,,,,,,,,
2013-2014,22,Chelsea,eng ENG,1. Premier League,3rd,32.1,,,,,,,,,,,,,,,7,,,,,,,,
2014-2015,23,Chelsea,eng ENG,1. Premier League,1st,37.4,,,,,,,,,,,,,,,9,,,,,,,,Matches
2015-2016,24,Chelsea,eng ENG,1. Premier League,10th,24.3,,,,,,,,,,,,,,,3,,,,,,,,Matches
2016-2017,25,Chelsea,eng ENG,1. Premier League,1st,33.1,,,,,,,,,,,,,,,5,,,,,,,,Matches
2017-2018,26,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,8th,0.8,,,,,,,,,,,,,,,0,,,,,,,,Matches
2017-2018,26,Chelsea,eng ENG,1. Premier League,5th,26.9,1171,1423,82.3,20933,5679,36,79,45.6,900,1067,84.3,235,277,84.8,4,7.4,-3.4,83,113,82,8,216,Matches
2018-2019,27,Chelsea,eng ENG,1. Premier League,3rd,32.5,1595,1999,79.8,27836,7322,26,75,34.7,1282,1501,85.4,287,423,67.8,15,9.2,5.8,93,124,108,11,269,Matches
2019-2020,28,Real Madrid,es ESP,1. La Liga,2nd,8.3,349,414,84.3,5361,1250,9,27,33.3,297,333,89.2,43,54,79.6,1,1,0,15,23,10,2,32,Matches
13 Seasons,,3 Clubs,,3 Leagues,,337.8,3115,3836,81.2,54130,14251,71,181,39.2,2479,2901,85.5,565,754,74.9,86,17.7,2.3,191,260,200,21,517,
Chelsea (7 Seasons),,,,1 League,,215.6,2766,3422,80.8,48769,13001,62,154,40.3,2182,2568,85,522,700,74.6,54,16.7,2.3,176,237,190,19,485,
Lille (5 Seasons),,,,1 League,,113.9,,,,,,,,,,,,,,,31,,,,,,,,
Real Madrid (1 Season),,,,1 League,,8.3,349,414,84.3,5361,1250,9,27,33.3,297,333,89.2,43,54,79.6,1,1,0,15,23,10,2,32,
Chelsea (1 Season),,,,1 League,,0.8,,,,,,,,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (7 Seasons),,,,,,215.6,2766,3422,80.8,48769,13001,62,154,40.3,2182,2568,85,522,700,74.6,54,16.7,2.3,176,237,190,19,485,
Ligue 1 (5 Seasons),,,,,,113.9,,,,,,,,,,,,,,,31,,,,,,,,
La Liga (1 Season),,,,,,8.3,349,414,84.3,5361,1250,9,27,33.3,297,333,89.2,43,54,79.6,1,1,0,15,23,10,2,32,
PL2 â€” Div. 1 (1 Season),,,,,,0.8,,,,,,,,,,,,,,,0,,,,,,,,
