Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
2007-2008,16,Lille,fr FRA,1. Ligue 1,7th,0.4,,,,,,,,,,,,,,,,,,,,,
2008-2009,17,Lille,fr FRA,1. Ligue 1,5th,14.1,,,,,,,,,,,,,,,,,,,,,
2009-2010,18,Lille,fr FRA,1. Ligue 1,4th,29.8,,,,,,,,,,,,,,,,,,,,,
2010-2011,19,Lille,fr FRA,1. Ligue 1,1st,34.1,,,,,,,,,,,,,,,,,,,,,
2011-2012,20,Lille,fr FRA,1. Ligue 1,3rd,35.6,,,,,,,,,,,,,,,,,,,,,
2012-2013,21,Chelsea,eng ENG,1. Premier League,3rd,29.2,,,,,,,,,,,,,,,,,,,,,
2013-2014,22,Chelsea,eng ENG,1. Premier League,3rd,32.1,,,,,,,,,,,,,,,,,,,,,
2014-2015,23,Chelsea,eng ENG,1. Premier League,1st,37.4,,,,,,,,,,,,,,,,,,,,,Matches
2015-2016,24,Chelsea,eng ENG,1. Premier League,10th,24.3,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,25,Chelsea,eng ENG,1. Premier League,1st,33.1,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,26,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,8th,0.8,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,26,Chelsea,eng ENG,1. Premier League,5th,26.9,1770,1,101,726,1121,188,1702,101,139,72.7,106,9,1509,13112,7238,1830,1460,79.8,66,72,Matches
2018-2019,27,Chelsea,eng ENG,1. Premier League,3rd,32.5,2461,6,126,925,1673,268,2320,134,204,65.7,143,6,2226,17993,11141,2579,2082,80.7,85,87,Matches
2019-2020,28,Real Madrid,es ESP,1. La Liga,2nd,8.3,539,4,64,232,302,76,533,31,49,63.3,34,0,448,3734,2575,548,448,81.8,19,23,Matches
13 Seasons,,3 Clubs,,3 Leagues,,337.8,4770,11,291,1883,3096,532,4555,266,392,67.9,283,15,4183,34839,20954,4957,3990,80.5,170,182,
Chelsea (7 Seasons),,,,1 League,,215.6,4231,7,227,1651,2794,456,4022,235,343,68.5,249,15,3735,31105,18379,4409,3542,80.3,151,159,
Lille (5 Seasons),,,,1 League,,113.9,,,,,,,,,,,,,,,,,,,,,
Real Madrid (1 Season),,,,1 League,,8.3,539,4,64,232,302,76,533,31,49,63.3,34,0,448,3734,2575,548,448,81.8,19,23,
Chelsea (1 Season),,,,1 League,,0.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (7 Seasons),,,,,,215.6,4231,7,227,1651,2794,456,4022,235,343,68.5,249,15,3735,31105,18379,4409,3542,80.3,151,159,
Ligue 1 (5 Seasons),,,,,,113.9,,,,,,,,,,,,,,,,,,,,,
La Liga (1 Season),,,,,,8.3,539,4,64,232,302,76,533,31,49,63.3,34,0,448,3734,2575,548,448,81.8,19,23,
PL2 â€” Div. 1 (1 Season),,,,,,0.8,,,,,,,,,,,,,,,,,,,,,
