Season,Age,Squad,Country,Comp,LgRank,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2007-2008,16,Lille,fr FRA,1. Ligue 1,7th,0.4,0,0,0,,0,,,,0,,,,,,,,
2008-2009,17,Lille,fr FRA,1. Ligue 1,5th,14.1,4,0,0,,16,,,,1.14,,0.25,,,,,,
2009-2010,18,Lille,fr FRA,1. Ligue 1,4th,29.8,5,0,0,,18,,,,0.6,,0.28,,,,,,
2010-2011,19,Lille,fr FRA,1. Ligue 1,1st,34.1,7,0,0,,24,,,,0.7,,0.29,,,,,,
2011-2012,20,Lille,fr FRA,1. Ligue 1,3rd,35.6,20,9,9,,61,,,,1.71,,0.18,,,,,,
2012-2013,21,Chelsea,eng ENG,1. Premier League,3rd,29.2,9,2,2,,33,,,,1.13,,0.21,,,,,,
2013-2014,22,Chelsea,eng ENG,1. Premier League,3rd,32.1,14,4,4,,39,,,,1.22,,0.26,,,,,,
2014-2015,23,Chelsea,eng ENG,1. Premier League,1st,37.4,14,3,4,,33,,,,0.88,,0.33,,,,,,Matches
2015-2016,24,Chelsea,eng ENG,1. Premier League,10th,24.3,4,0,0,,14,,,,0.58,,0.29,,,,,,Matches
2016-2017,25,Chelsea,eng ENG,1. Premier League,1st,33.1,16,2,3,77,32,,41.6,2.32,0.97,0.18,0.44,,,,,,Matches
2017-2018,26,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,8th,0.8,0,0,0,,,,,,,,,,,,,,Matches
2017-2018,26,Chelsea,eng ENG,1. Premier League,5th,26.9,12,2,2,69,33,1,47.8,2.56,1.23,0.14,0.3,8,6.4,0.09,4,3.6,Matches
2018-2019,27,Chelsea,eng ENG,1. Premier League,3rd,32.5,16,4,4,94,39,2,41.5,2.89,1.2,0.13,0.31,11.2,8.2,0.09,4.8,3.8,Matches
2019-2020,28,Real Madrid,es ESP,1. La Liga,2nd,8.3,1,0,0,12,9,0,75,1.44,1.08,0.08,0.11,1.4,1.4,0.12,-0.4,-0.4,Matches
13 Seasons,,3 Clubs,,3 Leagues,,337.8,122,26,28,252,351,3,44.8,2.5,1.04,0.15,0.27,20.6,16,0.09,8.4,80,
Chelsea (7 Seasons),,,,1 League,,215.6,85,17,19,240,223,3,43.3,2.59,1.03,0.15,0.3,19.2,14.6,0.09,8.8,53.4,
Lille (5 Seasons),,,,1 League,,113.9,36,9,9,,119,,,,1.04,,0.23,,,,,,
Real Madrid (1 Season),,,,1 League,,8.3,1,0,0,12,9,0,75,1.44,1.08,0.08,0.11,1.4,1.4,0.12,-0.4,-0.4,
Chelsea (1 Season),,,,1 League,,0.8,0,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Premier League (7 Seasons),,,,,,215.6,85,17,19,240,223,3,43.3,2.59,1.03,0.15,0.3,19.2,14.6,0.09,8.8,53.4,
Ligue 1 (5 Seasons),,,,,,113.9,36,9,9,,119,,,,1.04,,0.23,,,,,,
La Liga (1 Season),,,,,,8.3,1,0,0,12,9,0,75,1.44,1.08,0.08,0.11,1.4,1.4,0.12,-0.4,-0.4,
PL2 â€” Div. 1 (1 Season),,,,,,0.8,0,0,0,,,,,,,,,,,,,,
