Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Matches
2014-2015,17,Coventry City,eng ENG,3. League One,17th,4.9,,,,,,,,,,,,,,,,,,,,,,,Matches
2015-2016,18,Coventry City,eng ENG,3. League One,8th,14,,,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,19,Aberdeen,sco SCO,1. Premiership,2nd,10.8,,,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,19,Norwich City,eng ENG,2. Championship,8th,0.4,,0,,,,,,,,,,,,,,,,,,0,,,Matches
2017-2018,20,Norwich City,eng ENG,2. Championship,14th,40.3,,26,,,,,,,,,,,,,,,,,,21,,,Matches
2018-2019,21,Leicester City,eng ENG,1. Premier League,9th,31.6,59,34,25,26,8,15,60,25,45,766,158,20.6,164,377,225,31,3,0,28,13,6,0,Matches
2019-2020,22,Leicester City,eng ENG,1. Premier League,3rd,26.7,51,36,17,21,13,20,64,31.3,44,589,185,31.4,150,318,121,18,1,0,17,10,8,1,Matches
6 Seasons,,4 Clubs,,4 Leagues,,128.7,110,96,42,47,21,35,124,28.2,89,1355,343,25.3,314,695,346,49,4,0,45,44,14,1,
Leicester City (2 Seasons),,,,1 League,,58.4,110,70,42,47,21,35,124,28.2,89,1355,343,25.3,314,695,346,49,4,0,45,23,14,1,
Norwich City (2 Seasons),,,,1 League,,40.7,,26,,,,,,,,,,,,,,,,,,21,,,
Coventry City (2 Seasons),,,,1 League,,18.9,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen (1 Season),,,,1 League,,10.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (2 Seasons),,,,,,58.4,110,70,42,47,21,35,124,28.2,89,1355,343,25.3,314,695,346,49,4,0,45,23,14,1,
Championship (2 Seasons),,,,,,40.7,,26,,,,,,,,,,,,,,,,,,21,,,
League One (2 Seasons),,,,,,18.9,,,,,,,,,,,,,,,,,,,,,,,
Premiership (1 Season),,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
