Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2014-2015,17,Coventry City,eng ENG,3. League One,17th,4.9,1,1,,5,,,,,,,,,,,,,Matches
2015-2016,18,Coventry City,eng ENG,3. League One,8th,14,1,0,,18,,,,,,,,,,,,,Matches
2016-2017,19,Aberdeen,sco SCO,1. Premiership,2nd,10.8,3,0,,10,,,,,,,,,,,,,Matches
2016-2017,19,Norwich City,eng ENG,2. Championship,8th,0.4,0,0,0,2,0,0,0,0,0,0,0,0,,,,,Matches
2017-2018,20,Norwich City,eng ENG,2. Championship,14th,40.3,7,0,0,40,146,3,194,21,26,2,0,0,,,,,Matches
2018-2019,21,Leicester City,eng ENG,1. Premier League,9th,31.6,4,1,1,26,78,2,206,13,34,2,0,0,203,8,30,21.1,Matches
2019-2020,22,Leicester City,eng ENG,1. Premier League,3rd,26.7,4,0,0,33,81,4,201,10,36,0,0,0,200,6,28,17.6,Matches
6 Seasons,,4 Clubs,,4 Leagues,,128.7,20,2,1,134,305,9,601,44,96,4,0,0,403,14,58,19.4,
Leicester City (2 Seasons),,,,1 League,,58.4,8,1,1,59,159,6,407,23,70,2,0,0,403,14,58,19.4,
Norwich City (2 Seasons),,,,1 League,,40.7,7,0,0,42,146,3,194,21,26,2,0,0,,,,,
Coventry City (2 Seasons),,,,1 League,,18.9,2,1,,23,,,,,,,,,,,,,
Aberdeen (1 Season),,,,1 League,,10.8,3,0,,10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Premier League (2 Seasons),,,,,,58.4,8,1,1,59,159,6,407,23,70,2,0,0,403,14,58,19.4,
Championship (2 Seasons),,,,,,40.7,7,0,0,42,146,3,194,21,26,2,0,0,,,,,
League One (2 Seasons),,,,,,18.9,2,1,,23,,,,,,,,,,,,,
Premiership (1 Season),,,,,,10.8,3,0,,10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
