Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,TCmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
2014-2015,17,Coventry City,eng ENG,3. League One,17th,4.9,,,,,,,,,,,,,,,0,,,,,,,,Matches
2015-2016,18,Coventry City,eng ENG,3. League One,8th,14,,,,,,,,,,,,,,,2,,,,,,,,Matches
2016-2017,19,Aberdeen,sco SCO,1. Premiership,2nd,10.8,,,,,,,,,,,,,,,5,,,,,,,,Matches
2016-2017,19,Norwich City,eng ENG,2. Championship,8th,0.4,,,,,,,,,,,,,,,0,,,,,,,,Matches
2017-2018,20,Norwich City,eng ENG,2. Championship,14th,40.3,,,,,,,,,,,,,,,8,,,,,,,,Matches
2018-2019,21,Leicester City,eng ENG,1. Premier League,9th,31.6,1243,1617,76.9,23847,7531,17,48,35.4,925,1070,86.4,301,499,60.3,7,7.2,-0.2,96,137,51,5,237,Matches
2019-2020,22,Leicester City,eng ENG,1. Premier League,3rd,26.7,1156,1511,76.5,23449,7169,21,51,41.2,802,929,86.3,333,531,62.7,3,6.8,-3.8,80,139,38,4,218,Matches
6 Seasons,,4 Clubs,,4 Leagues,,128.7,2399,3128,76.7,47296,14700,38,99,38.4,1727,1999,86.4,634,1030,61.6,25,13.9,-3.9,176,276,89,9,455,
Leicester City (2 Seasons),,,,1 League,,58.4,2399,3128,76.7,47296,14700,38,99,38.4,1727,1999,86.4,634,1030,61.6,10,13.9,-3.9,176,276,89,9,455,
Norwich City (2 Seasons),,,,1 League,,40.7,,,,,,,,,,,,,,,8,,,,,,,,
Coventry City (2 Seasons),,,,1 League,,18.9,,,,,,,,,,,,,,,2,,,,,,,,
Aberdeen (1 Season),,,,1 League,,10.8,,,,,,,,,,,,,,,5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (2 Seasons),,,,,,58.4,2399,3128,76.7,47296,14700,38,99,38.4,1727,1999,86.4,634,1030,61.6,10,13.9,-3.9,176,276,89,9,455,
Championship (2 Seasons),,,,,,40.7,,,,,,,,,,,,,,,8,,,,,,,,
League One (2 Seasons),,,,,,18.9,,,,,,,,,,,,,,,2,,,,,,,,
Premiership (1 Season),,,,,,10.8,,,,,,,,,,,,,,,5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
