Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
2014-2015,17,Coventry City,eng ENG,3. League One,17th,4.9,,,,,,,,,,,,,,,,,,,,,Matches
2015-2016,18,Coventry City,eng ENG,3. League One,8th,14,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,19,Aberdeen,sco SCO,1. Premiership,2nd,10.8,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,19,Norwich City,eng ENG,2. Championship,8th,0.4,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,20,Norwich City,eng ENG,2. Championship,14th,40.3,,,,,,,,,,,,,,,,,,,,,Matches
2018-2019,21,Leicester City,eng ENG,1. Premier League,9th,31.6,1961,10,165,982,946,92,1731,43,59,72.9,46,6,1488,7490,3826,1753,1394,79.5,48,44,Matches
2019-2020,22,Leicester City,eng ENG,1. Premier League,3rd,26.7,1812,19,193,944,780,79,1600,51,77,66.2,53,6,1309,7014,3314,1484,1286,86.7,41,44,Matches
6 Seasons,,4 Clubs,,4 Leagues,,128.7,3773,29,358,1926,1726,171,3331,94,136,69.1,99,12,2797,14504,7140,3237,2680,82.8,89,88,
Leicester City (2 Seasons),,,,1 League,,58.4,3773,29,358,1926,1726,171,3331,94,136,69.1,99,12,2797,14504,7140,3237,2680,82.8,89,88,
Norwich City (2 Seasons),,,,1 League,,40.7,,,,,,,,,,,,,,,,,,,,,
Coventry City (2 Seasons),,,,1 League,,18.9,,,,,,,,,,,,,,,,,,,,,
Aberdeen (1 Season),,,,1 League,,10.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (2 Seasons),,,,,,58.4,3773,29,358,1926,1726,171,3331,94,136,69.1,99,12,2797,14504,7140,3237,2680,82.8,89,88,
Championship (2 Seasons),,,,,,40.7,,,,,,,,,,,,,,,,,,,,,
League One (2 Seasons),,,,,,18.9,,,,,,,,,,,,,,,,,,,,,
Premiership (1 Season),,,,,,10.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
