Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Matches
2015-2016,17,Paris S-G,fr FRA,1. Ligue 1,1st,3.6,,,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,18,Paris S-G,fr FRA,1. Ligue 1,2nd,4.4,,2,,,,,,,,,,,,,,,,,,5,,,Matches
2017-2018,19,Paris S-G,fr FRA,1. Ligue 1,1st,7,4,1,1,2,1,1,10,10,9,134,38,28.4,38,56,40,14,2,0,12,4,0,0,Matches
2018-2019,20,Paris S-G,fr FRA,1. Ligue 1,1st,12.8,16,11,6,7,3,4,17,23.5,13,305,85,27.9,58,152,95,17,2,0,15,8,9,0,Matches
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,5th,17,22,17,5,12,5,9,26,34.6,17,347,124,35.7,47,186,114,33,3,0,30,16,11,0,Matches
5 Seasons,,2 Clubs,,2 Leagues,,45,42,31,12,21,9,14,53,26.4,39,786,247,31.4,143,394,249,64,7,0,57,33,20,0,
Paris S-G (4 Seasons),,,,1 League,,27.9,20,14,7,9,4,5,27,18.5,22,439,123,28,96,208,135,31,4,0,27,17,9,0,
RB Leipzig (1 Season),,,,1 League,,17,22,17,5,12,5,9,26,34.6,17,347,124,35.7,47,186,114,33,3,0,30,16,11,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (4 Seasons),,,,,,27.9,20,14,7,9,4,5,27,18.5,22,439,123,28,96,208,135,31,4,0,27,17,9,0,
Bundesliga (1 Season),,,,,,17,22,17,5,12,5,9,26,34.6,17,347,124,35.7,47,186,114,33,3,0,30,16,11,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
