Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2015-2016,17,Paris S-G,fr FRA,1. Ligue 1,1st,3.6,0,0,,5,,,,,,,,,,,,,Matches
2016-2017,18,Paris S-G,fr FRA,1. Ligue 1,2nd,4.4,2,0,0,11,8,1,6,5,2,0,0,0,,,,,Matches
2017-2018,19,Paris S-G,fr FRA,1. Ligue 1,1st,7,0,0,0,13,10,2,10,4,1,0,0,0,38,1,1,50,Matches
2018-2019,20,Paris S-G,fr FRA,1. Ligue 1,1st,12.8,0,0,0,21,30,0,15,8,11,0,0,0,94,10,9,52.6,Matches
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,5th,17,1,0,0,21,30,5,102,16,17,1,0,0,107,18,36,33.3,Matches
5 Seasons,,2 Clubs,,2 Leagues,,45,3,0,0,71,78,8,133,33,31,1,0,0,239,29,46,38.7,
Paris S-G (4 Seasons),,,,1 League,,27.9,2,0,0,50,48,3,31,17,14,0,0,0,132,11,10,52.4,
RB Leipzig (1 Season),,,,1 League,,17,1,0,0,21,30,5,102,16,17,1,0,0,107,18,36,33.3,
,,,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (4 Seasons),,,,,,27.9,2,0,0,50,48,3,31,17,14,0,0,0,132,11,10,52.4,
Bundesliga (1 Season),,,,,,17,1,0,0,21,30,5,102,16,17,1,0,0,107,18,36,33.3,
,,,,,,,,,,,,,,,,,,,,,,,
