Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,TCmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
2015-2016,17,Paris S-G,fr FRA,1. Ligue 1,1st,3.6,,,,,,,,,,,,,,,0,,,,,,,,Matches
2016-2017,18,Paris S-G,fr FRA,1. Ligue 1,2nd,4.4,,,,,,,,,,,,,,,0,,,,,,,,Matches
2017-2018,19,Paris S-G,fr FRA,1. Ligue 1,1st,7,323,359,90,5099,1036,11,16,68.8,272,291,93.5,40,52,76.9,0,0.6,-0.6,4,26,6,0,25,Matches
2018-2019,20,Paris S-G,fr FRA,1. Ligue 1,1st,12.8,581,650,89.4,8846,1845,7,18,38.9,517,560,92.3,57,72,79.2,2,3.5,-1.5,17,36,19,2,56,Matches
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,5th,17,537,673,79.8,8925,3275,14,30,46.7,435,485,89.7,88,158,55.7,12,7.9,4.1,62,40,28,3,114,Matches
5 Seasons,,2 Clubs,,2 Leagues,,45,1441,1682,85.7,22870,6156,32,64,50,1224,1336,91.6,185,282,65.6,14,12,2,83,102,53,5,195,
Paris S-G (4 Seasons),,,,1 League,,27.9,904,1009,89.6,13945,2881,18,34,52.9,789,851,92.7,97,124,78.2,2,4.1,-2.1,21,62,25,2,81,
RB Leipzig (1 Season),,,,1 League,,17,537,673,79.8,8925,3275,14,30,46.7,435,485,89.7,88,158,55.7,12,7.9,4.1,62,40,28,3,114,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (4 Seasons),,,,,,27.9,904,1009,89.6,13945,2881,18,34,52.9,789,851,92.7,97,124,78.2,2,4.1,-2.1,21,62,25,2,81,
Bundesliga (1 Season),,,,,,17,537,673,79.8,8925,3275,14,30,46.7,435,485,89.7,88,158,55.7,12,7.9,4.1,62,40,28,3,114,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
