Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
2015-2016,17,Paris S-G,fr FRA,1. Ligue 1,1st,3.6,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,18,Paris S-G,fr FRA,1. Ligue 1,2nd,4.4,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,19,Paris S-G,fr FRA,1. Ligue 1,1st,7,455,10,68,246,184,37,445,11,22,50,11,1,371,2432,1175,422,363,86,15,10,Matches
2018-2019,20,Paris S-G,fr FRA,1. Ligue 1,1st,12.8,811,14,107,402,373,53,794,29,47,61.7,30,3,662,4141,2479,767,630,82.1,20,18,Matches
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,5th,17,914,16,94,398,506,81,813,45,76,59.2,49,0,669,4772,3084,795,606,76.2,39,28,Matches
5 Seasons,,2 Clubs,,2 Leagues,,45,2180,40,269,1046,1063,171,2052,85,145,58.6,90,4,1702,11345,6738,1984,1599,80.6,74,56,
Paris S-G (4 Seasons),,,,1 League,,27.9,1266,24,175,648,557,90,1239,40,69,58,41,4,1033,6573,3654,1189,993,83.5,35,28,
RB Leipzig (1 Season),,,,1 League,,17,914,16,94,398,506,81,813,45,76,59.2,49,0,669,4772,3084,795,606,76.2,39,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (4 Seasons),,,,,,27.9,1266,24,175,648,557,90,1239,40,69,58,41,4,1033,6573,3654,1189,993,83.5,35,28,
Bundesliga (1 Season),,,,,,17,914,16,94,398,506,81,813,45,76,59.2,49,0,669,4772,3084,795,606,76.2,39,28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
