Season,Age,Squad,Country,Comp,LgRank,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2015-2016,17,Paris S-G,fr FRA,1. Ligue 1,1st,3.6,0,0,0,,0,,,,0,,,,,,,,Matches
2016-2017,18,Paris S-G,fr FRA,1. Ligue 1,2nd,4.4,1,0,0,7,2,,28.6,1.58,0.45,0.14,0.5,,,,,,Matches
2017-2018,19,Paris S-G,fr FRA,1. Ligue 1,1st,7,4,0,0,24,14,0,58.3,3.41,1.99,0.17,0.29,3.5,3.5,0.14,0.5,0.5,Matches
2018-2019,20,Paris S-G,fr FRA,1. Ligue 1,1st,12.8,3,0,0,22,5,0,22.7,1.71,0.39,0.14,0.6,2.3,2.3,0.1,0.7,0.7,Matches
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,5th,17,4,0,0,42,19,2,45.2,2.47,1.12,0.1,0.21,5.1,5.1,0.12,-1.1,-1.1,Matches
5 Seasons,,2 Clubs,,2 Leagues,,45,12,0,0,95,40,2,42.1,2.3,0.89,0.13,0.3,10.8,10.8,0.12,0.2,1.2,
Paris S-G (4 Seasons),,,,1 League,,27.9,8,0,0,53,21,0,39.6,2.18,0.75,0.15,0.38,5.7,5.7,0.12,1.3,2.3,
RB Leipzig (1 Season),,,,1 League,,17,4,0,0,42,19,2,45.2,2.47,1.12,0.1,0.21,5.1,5.1,0.12,-1.1,-1.1,
,,,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (4 Seasons),,,,,,27.9,8,0,0,53,21,0,39.6,2.18,0.75,0.15,0.38,5.7,5.7,0.12,1.3,2.3,
Bundesliga (1 Season),,,,,,17,4,0,0,42,19,2,45.2,2.47,1.12,0.1,0.21,5.1,5.1,0.12,-1.1,-1.1,
,,,,,,,,,,,,,,,,,,,,,,,
