Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Matches
2017-2018,16,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,8th,8.2,,,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,16,Chelsea,eng ENG,1. Premier League,5th,0.3,0,0,0,0,0,0,0,,0,3,2,66.7,0,2,1,0,0,0,0,0,0,0,Matches
2018-2019,17,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,6th,5,,,,,,,,,,,,,,,,,,,,,,,Matches
2018-2019,17,Chelsea,eng ENG,1. Premier League,3rd,4.3,8,6,6,1,1,0,3,0,3,82,23,28,33,37,12,2,0,0,2,3,0,0,Matches
2019-2020,18,Chelsea,eng ENG,1. Premier League,4th,8.6,7,4,4,2,1,1,10,10,9,110,24,21.8,19,56,35,13,0,0,13,1,6,0,Matches
3 Seasons,,1 Club,,1 League,,13.2,15,10,10,3,2,1,13,7.7,12,195,49,25.1,52,95,48,15,0,0,15,4,6,0,
Chelsea (3 Seasons),,,,1 League,,13.2,15,10,10,3,2,1,13,7.7,12,195,49,25.1,52,95,48,15,0,0,15,4,6,0,
Chelsea (3 Seasons),,,,1 League,,14.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (3 Seasons),,,,,,13.2,15,10,10,3,2,1,13,7.7,12,195,49,25.1,52,95,48,15,0,0,15,4,6,0,
PL2 â€” Div. 1 (3 Seasons),,,,,,14.7,,,,,,,,,,,,,,,,,,,,,,,
