Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2017-2018,16,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,8th,8.2,0,0,0,,,,,,,,,0,,,,,Matches
2017-2018,16,Chelsea,eng ENG,1. Premier League,5th,0.3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,Matches
2018-2019,17,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,6th,5,0,0,0,,,,,,,,,0,,,,,Matches
2018-2019,17,Chelsea,eng ENG,1. Premier League,3rd,4.3,0,0,0,1,6,3,22,3,6,0,0,0,22,0,2,0,Matches
2019-2020,18,Chelsea,eng ENG,1. Premier League,4th,8.6,1,0,0,11,9,2,56,1,4,0,0,0,55,3,9,25,Matches
3 Seasons,,1 Club,,1 League,,13.2,1,0,0,12,15,5,80,4,10,0,0,0,77,3,11,21.4,
Chelsea (3 Seasons),,,,1 League,,13.2,1,0,0,12,15,5,80,4,10,0,0,0,77,3,11,21.4,
Chelsea (3 Seasons),,,,1 League,,14.7,0,0,0,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Premier League (3 Seasons),,,,,,13.2,1,0,0,12,15,5,80,4,10,0,0,0,77,3,11,21.4,
PL2 â€” Div. 1 (3 Seasons),,,,,,14.7,0,0,0,,,,,,,,,0,,,,,
