Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,TCmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
2017-2018,16,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,8th,8.2,,,,,,,,,,,,,,,1,,,,,,,,Matches
2017-2018,16,Chelsea,eng ENG,1. Premier League,5th,0.3,13,16,81.3,274,68,1,1,100,9,11,81.8,3,4,75,0,0,0,0,2,1,0,2,Matches
2018-2019,17,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,6th,5,,,,,,,,,,,,,,,2,,,,,,,,Matches
2018-2019,17,Chelsea,eng ENG,1. Premier League,3rd,4.3,192,236,81.4,3131,648,0,3,0,163,190,85.8,29,43,67.4,1,0.8,0.2,8,7,9,5,16,Matches
2019-2020,18,Chelsea,eng ENG,1. Premier League,4th,8.6,351,436,80.5,6550,1388,7,21,33.3,272,312,87.2,72,103,69.9,4,2.3,1.7,19,14,29,9,52,Matches
3 Seasons,,1 Club,,1 League,,13.2,556,688,80.8,9955,2104,8,25,32,444,513,86.5,104,150,69.3,5,3.2,1.8,27,23,39,14,70,
Chelsea (3 Seasons),,,,1 League,,13.2,556,688,80.8,9955,2104,8,25,32,444,513,86.5,104,150,69.3,5,3.2,1.8,27,23,39,14,70,
Chelsea (3 Seasons),,,,1 League,,14.7,,,,,,,,,,,,,,,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (3 Seasons),,,,,,13.2,556,688,80.8,9955,2104,8,25,32,444,513,86.5,104,150,69.3,5,3.2,1.8,27,23,39,14,70,
PL2 â€” Div. 1 (3 Seasons),,,,,,14.7,,,,,,,,,,,,,,,4,,,,,,,,
