Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
2017-2018,16,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,8th,8.2,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,16,Chelsea,eng ENG,1. Premier League,5th,0.3,22,0,0,14,12,2,22,2,2,100,2,0,23,238,136,24,22,91.7,4,0,Matches
2018-2019,17,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,6th,5,,,,,,,,,,,,,,,,,,,,,Matches
2018-2019,17,Chelsea,eng ENG,1. Premier League,3rd,4.3,287,6,33,106,167,21,280,11,18,61.1,11,0,247,1567,912,293,239,81.6,15,4,Matches
2019-2020,18,Chelsea,eng ENG,1. Premier League,4th,8.6,567,3,51,180,376,54,543,30,49,61.2,33,1,479,3430,2126,564,449,79.6,22,25,Matches
3 Seasons,,1 Club,,1 League,,13.2,876,9,84,300,555,77,845,43,69,62.3,46,1,749,5235,3174,881,710,80.6,41,29,
Chelsea (3 Seasons),,,,1 League,,13.2,876,9,84,300,555,77,845,43,69,62.3,46,1,749,5235,3174,881,710,80.6,41,29,
Chelsea (3 Seasons),,,,1 League,,14.7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (3 Seasons),,,,,,13.2,876,9,84,300,555,77,845,43,69,62.3,46,1,749,5235,3174,881,710,80.6,41,29,
PL2 â€” Div. 1 (3 Seasons),,,,,,14.7,,,,,,,,,,,,,,,,,,,,,
