Season,Age,Squad,Country,Comp,LgRank,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2017-2018,16,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,8th,8.2,6,2,2,,,,,,,,,,,,,,Matches
2017-2018,16,Chelsea,eng ENG,1. Premier League,5th,0.3,0,0,0,2,1,0,50,6.21,3.1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
2018-2019,17,Chelsea,eng ENG,Jr. PL2 â€” Div. 1,6th,5,1,1,1,,,,,,,,,,,,,,Matches
2018-2019,17,Chelsea,eng ENG,1. Premier League,3rd,4.3,0,0,0,6,3,0,50,1.38,0.69,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
2019-2020,18,Chelsea,eng ENG,1. Premier League,4th,8.6,1,0,0,22,4,0,18.2,2.57,0.47,0.05,0.25,2,2,0.09,-1,-1,Matches
3 Seasons,,1 Club,,1 League,,13.2,1,0,0,30,8,0,26.7,2.27,0.61,0.03,0.13,2.7,2.7,0.09,-1.7,-1.7,
Chelsea (3 Seasons),,,,1 League,,13.2,1,0,0,30,8,0,26.7,2.27,0.61,0.03,0.13,2.7,2.7,0.09,-1.7,-1.7,
Chelsea (3 Seasons),,,,1 League,,14.7,8,3,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Premier League (3 Seasons),,,,,,13.2,1,0,0,30,8,0,26.7,2.27,0.61,0.03,0.13,2.7,2.7,0.09,-1.7,-1.7,
PL2 â€” Div. 1 (3 Seasons),,,,,,14.7,8,3,3,,,,,,,,,,,,,,
