Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Matches
2016-2017,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,2nd,6.6,,,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,17,Dortmund U19,de GER,Jr. U19 Bundesliga,7th,1,,,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,17,Dortmund,de GER,1. Bundesliga,4th,7.7,,5,,,,,,,,,,,,,,,,,,8,,,Matches
2018-2019,18,Dortmund,de GER,1. Bundesliga,2nd,27.4,16,15,5,5,6,4,33,12.1,29,547,135,24.7,167,243,137,29,1,0,28,15,6,0,Matches
2019-2020,19,Dortmund,de GER,1. Bundesliga,2nd,20.1,16,13,4,8,4,6,19,31.6,13,369,115,31.2,58,175,136,20,0,0,20,14,3,0,Matches
3 Seasons,,1 Club,,1 League,,55.1,32,33,9,13,10,10,52,19.2,42,916,250,27.3,225,418,273,49,1,0,48,37,9,0,
Dortmund (3 Seasons),,,,1 League,,55.1,32,33,9,13,10,10,52,19.2,42,916,250,27.3,225,418,273,49,1,0,48,37,9,0,
Manchester City (1 Season),,,,1 League,,6.6,,,,,,,,,,,,,,,,,,,,,,,
Dortmund U19 (1 Season),,,,1 League,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (3 Seasons),,,,,,55.1,32,33,9,13,10,10,52,19.2,42,916,250,27.3,225,418,273,49,1,0,48,37,9,0,
PL2 — Div. 1 (1 Season),,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,
U19 Bundesliga (1 Season),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
