Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2016-2017,16,Manchester City,eng ENG,Jr. PL2 â€” Div. 1,2nd,6.6,0,0,0,,,,,,,,,0,,,,,Matches
2017-2018,17,Dortmund U19,de GER,Jr. U19 Bundesliga,7th,1,0,0,0,,,,,,,,,0,,,,,Matches
2017-2018,17,Dortmund,de GER,1. Bundesliga,4th,7.7,0,0,0,1,9,1,14,8,5,0,0,0,,,,,Matches
2018-2019,18,Dortmund,de GER,1. Bundesliga,2nd,27.4,2,0,0,5,38,4,110,15,15,2,0,0,189,0,14,0,Matches
2019-2020,19,Dortmund,de GER,1. Bundesliga,2nd,20.1,1,0,0,6,14,7,60,14,13,0,0,0,116,1,11,8.3,Matches
3 Seasons,,1 Club,,1 League,,55.1,3,0,0,12,61,12,184,37,33,2,0,0,305,1,25,3.8,
Dortmund (3 Seasons),,,,1 League,,55.1,3,0,0,12,61,12,184,37,33,2,0,0,305,1,25,3.8,
Manchester City (1 Season),,,,1 League,,6.6,0,0,0,,,,,,,,,0,,,,,
Dortmund U19 (1 Season),,,,1 League,,1,0,0,0,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (3 Seasons),,,,,,55.1,3,0,0,12,61,12,184,37,33,2,0,0,305,1,25,3.8,
PL2 â€” Div. 1 (1 Season),,,,,,6.6,0,0,0,,,,,,,,,0,,,,,
U19 Bundesliga (1 Season),,,,,,1,0,0,0,,,,,,,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
