Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,TCmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
2016-2017,16,Manchester City,eng ENG,Jr. PL2 â€” Div. 1,2nd,6.6,,,,,,,,,,,,,,,2,,,,,,,,Matches
2017-2018,17,Dortmund U19,de GER,Jr. U19 Bundesliga,7th,1,,,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,17,Dortmund,de GER,1. Bundesliga,4th,7.7,,,,,,,,,,,,,,,4,,,,,,,,Matches
2018-2019,18,Dortmund,de GER,1. Bundesliga,2nd,27.4,1161,1439,80.7,17723,5071,20,47,42.6,1014,1170,86.7,127,222,57.2,14,7,7,61,54,65,7,163,Matches
2019-2020,19,Dortmund,de GER,1. Bundesliga,2nd,20.1,1049,1263,83.1,15568,4005,17,52,32.7,927,1054,88,105,157,66.9,15,7.1,7.9,51,50,47,5,130,Matches
3 Seasons,,1 Club,,1 League,,55.1,2210,2702,81.8,33291,9076,37,99,37.4,1941,2224,87.3,232,379,61.2,33,14.1,14.9,112,104,112,12,293,
Dortmund (3 Seasons),,,,1 League,,55.1,2210,2702,81.8,33291,9076,37,99,37.4,1941,2224,87.3,232,379,61.2,33,14.1,14.9,112,104,112,12,293,
Manchester City (1 Season),,,,1 League,,6.6,,,,,,,,,,,,,,,2,,,,,,,,
Dortmund U19 (1 Season),,,,1 League,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (3 Seasons),,,,,,55.1,2210,2702,81.8,33291,9076,37,99,37.4,1941,2224,87.3,232,379,61.2,33,14.1,14.9,112,104,112,12,293,
PL2 â€” Div. 1 (1 Season),,,,,,6.6,,,,,,,,,,,,,,,2,,,,,,,,
U19 Bundesliga (1 Season),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
