Season,Age,Squad,Country,Comp,LgRank,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2016-2017,16,Manchester City,eng ENG,Jr. PL2 â€” Div. 1,2nd,6.6,3,0,0,,,,,,,,,,,,,,Matches
2017-2018,17,Dortmund U19,de GER,Jr. U19 Bundesliga,7th,1,1,0,0,,,,,,,,,,,,,,Matches
2017-2018,17,Dortmund,de GER,1. Bundesliga,4th,7.7,1,0,0,10,4,,40,1.3,0.52,0.1,0.25,,,,,,Matches
2018-2019,18,Dortmund,de GER,1. Bundesliga,2nd,27.4,12,0,0,39,20,0,51.3,1.43,0.73,0.31,0.6,7,7,0.18,5,5,Matches
2019-2020,19,Dortmund,de GER,1. Bundesliga,2nd,20.1,14,0,0,45,24,1,53.3,2.24,1.2,0.31,0.58,7.2,7.2,0.16,6.8,6.8,Matches
3 Seasons,,1 Club,,1 League,,55.1,27,0,0,94,48,1,51.1,1.71,0.87,0.29,0.56,14.2,14.2,0.17,11.8,12.8,
Dortmund (3 Seasons),,,,1 League,,55.1,27,0,0,94,48,1,51.1,1.71,0.87,0.29,0.56,14.2,14.2,0.17,11.8,12.8,
Manchester City (1 Season),,,,1 League,,6.6,3,0,0,,,,,,,,,,,,,,
Dortmund U19 (1 Season),,,,1 League,,1,1,0,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (3 Seasons),,,,,,55.1,27,0,0,94,48,1,51.1,1.71,0.87,0.29,0.56,14.2,14.2,0.17,11.8,12.8,
PL2 â€” Div. 1 (1 Season),,,,,,6.6,3,0,0,,,,,,,,,,,,,,
U19 Bundesliga (1 Season),,,,,,1,1,0,0,,,,,,,,,,,,,,
